CCENNOM;CCENDIR;CCENLOC;CCENBARRIO;CCENHOR;CCENPROSER;CCENNUMLOC;CCENSITWEB;LATITUD;LONGITUD;geometry;;
Pasaje Cultural y Comercial CED Centenario;Transversal 21 A # 21A - 65 Sur;Antonio Nariño;Restrepo - U.R. Alfonso Lopez Pumarejo;Lunes - Domingo 8:00 AM a 8:00 PM;ropa, frutas y verduras, hiervas, bisutería.;153;http://www.ipes.gov.co;458.485.303;-7.410.459.605;"{\type\"":\""Point\""";"\""coordinates\"":[-74.10441164628877";"4.584759040295161]}"""
Caseta Feria Popular Rotonda Barrios Unidos;Calle 72 A # 67 - 75;Barrios Unidos;San Fernando;Lunes - Sábado 7:00 AM a 6:00 PM;confitería, libros, servicio de arreglo de zapatos.;12;http://www.ipes.gov.co;467.759.026;-7.408.556.858;"{\type\"":\""Point\""";"\""coordinates\"":[-74.08559712975556";"4.677652125439473]}"""
Punto Comercial Siete de agosto;Carrera 25 # 66 - 65;Barrios Unidos;Siete De Agosto;Lunes - Sábado 7:00 AM a 7:00 PM;ropa, marroquinería;29;http://www.ipes.gov.co;465.826.768;-740.709.895;"{\type\"":\""Point\""";"\""coordinates\"":[-74.07101805839586";"4.658329544591293]}"""
Plataforma Logística de Bosa;Calle 69 SUR # 95-56;Bosa;S.C. San Bernardino Xvi;Lunes - Domingo 7:00 AM a 7:00 PM;bisutería, confitería y alimentos envasados;113;http://www.ipes.gov.co;46.320.196;-7.419.910.079;"{\type\"":\""Point\""";"\""coordinates\"":[-74.19912934060144";"4.632081462060175]}"""
Centro Comercial Caravana;Calle 12 # 9 - 68;Candelaria;La Catedral;Lunes - Sábado 7:00 AM a 7:00 PM Domingos - Festivos 8:00 AM a 3:00 PM;inciensos, infusiones de hierbas, cremas, jabones, pomadas, entre otros.;13;http://www.ipes.gov.co;460.085.451;-7.407.700.108;"{\type\"":\""Point\""";"\""coordinates\"":[-74.07702963098959";"4.600916373570125]}"""
Box Coulvert;Calle 12 # 9 - 68;Candelaria;La Catedral;Lunes - Sábado 7:00 AM a 7:00 PM Domingos - Festivos 8:00 AM A 3:00 PM;ropa, artesanías, productos naturistas como: pomadas, hierbas, cremas, entre otros.;25;http://www.ipes.gov.co;460.085.451;-7.407.700.108;"{\type\"":\""Point\""";"\""coordinates\"":[-74.07702963098959";"4.600916373570125]}"""
Caseta Feria Popular Rotonda Candelaria;Calle 12 # 6 - 56;Candelaria;La Catedral;Lunes - Sábado 7:00 AM a 7:00 PM Domingos - Festivos 8:00 AM a 3:00 PM;servicio de cafetería, artesanías, joyería, servicio de mantenimiento de equipos.;18;http://www.ipes.gov.co;459.897.537;-7.407.432.809;"{\type\"":\""Point\""";"\""coordinates\"":[-74.07435664804761";"4.599037235258418]}"""
Plaza Comercial y Artesanal Furatena;Calle 14 # 8-53;Candelaria;La Catedral;Lunes - Sábado 7:00 AM a 7:00 PM;ropa, artesanías, productos naturales, frutas y verduras;81;http://www.ipes.gov.co;46.015.953;-7.407.527.477;"{\type\"":\""Point\""";"\""coordinates\"":[-74.07530332054178";"4.601657168931698]}"""
Caseta Feria Popular Rotonda Chapinero;Avenida Caracas # 50 - 60;Chapinero;S.C. Marly;Lunes - Sábado 7:00 AM a 7:00 PM;servicio de arreglo de ropa, libros, artículos en general de segunda.;35;http://www.ipes.gov.co;463.740.666;-7.406.676.878;"{\type\"":\""Point\""";"\""coordinates\"":[-74.06679733211826";"4.637468524142977]}"""
Punto Comercial Flores de la 68;Avenida Carrera 13 # 68 - 76;Chapinero;La Esperanza Nororiental;Lunes - Domingo 7:00 AM a 7:00 PM;arreglos florales;44;http://www.ipes.gov.co;4.650.404;-74.063.202;"{\type\"":\""Point\""";"\""coordinates\"":[-74.06323055331636";"4.650465866025476]}"""
